timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1535747312589,2619,HTTP Request,200,OK,Thread Group 1-91,text,true,,1043463,130,346,346,2619,0,1
1535747312621,2592,HTTP Request,200,OK,Thread Group 1-22,text,true,,343,133,347,347,2592,0,0
1535747312651,2564,HTTP Request,200,OK,Thread Group 1-23,text,true,,343,133,347,347,2564,0,0
1535747312600,2648,HTTP Request,200,OK,Thread Group 1-92,text,true,,1043873,130,350,350,2647,0,0
1535747312610,2668,HTTP Request,200,OK,Thread Group 1-93,text,true,,1043873,130,353,353,2667,0,0
1535747312620,2700,HTTP Request,200,OK,Thread Group 1-94,text,true,,1043873,130,357,357,2699,0,0
1535747312630,2724,HTTP Request,200,OK,Thread Group 1-95,text,true,,1043873,130,361,361,2724,0,1
1535747312640,2742,HTTP Request,200,OK,Thread Group 1-96,text,true,,1043873,130,364,364,2741,0,0
1535747312682,2704,HTTP Request,200,OK,Thread Group 1-24,text,true,,343,133,364,364,2704,0,0
1535747312651,2768,HTTP Request,200,OK,Thread Group 1-97,text,true,,1044079,130,367,367,2767,0,0
1535747312661,2792,HTTP Request,200,OK,Thread Group 1-98,text,true,,1044079,130,371,371,2791,0,0
1535747312671,2810,HTTP Request,200,OK,Thread Group 1-99,text,true,,1044079,130,373,373,2809,0,0
1535747312681,2833,HTTP Request,200,OK,Thread Group 1-100,text,true,,1044079,130,377,377,2832,0,0
1535747312691,2850,HTTP Request,200,OK,Thread Group 1-101,text,true,,1044079,130,379,379,2850,0,0
1535747312701,2884,HTTP Request,200,OK,Thread Group 1-102,text,true,,1044079,130,384,384,2882,0,1
1535747312711,2910,HTTP Request,200,OK,Thread Group 1-103,text,true,,1044079,130,387,387,2909,0,1
1535747312715,2910,HTTP Request,200,OK,Thread Group 1-25,text,true,,343,133,388,388,2910,0,0
1535747312719,3149,HTTP Request,200,OK,Thread Group 1-6,text,true,,1044285,130,391,391,2937,0,0
1535747312766,3108,HTTP Request,200,OK,Thread Group 1-108,text,true,,1044903,130,391,391,3107,0,1
1535747312829,3046,HTTP Request,200,OK,Thread Group 1-28,text,true,,343,133,391,391,3046,0,0
1535747312796,3086,HTTP Request,200,OK,Thread Group 1-27,text,true,,343,133,391,391,3086,0,0
1535747312756,3127,HTTP Request,200,OK,Thread Group 1-107,text,true,,1044491,130,391,391,3126,0,0
1535747312746,3138,HTTP Request,200,OK,Thread Group 1-106,text,true,,1044491,130,391,391,3137,0,0
1535747312733,3164,HTTP Request,200,OK,Thread Group 1-105,text,true,,1044491,130,408,408,3162,0,1
1535747312722,3177,HTTP Request,200,OK,Thread Group 1-104,text,true,,1044491,130,410,410,3176,0,0
1535747312759,3142,HTTP Request,200,OK,Thread Group 1-26,text,true,,343,133,414,414,3142,0,0
1535747312776,3151,HTTP Request,200,OK,Thread Group 1-109,text,true,,1044903,130,417,417,3146,0,0
1535747312786,3182,HTTP Request,200,OK,Thread Group 1-110,text,true,,1044903,130,421,421,3180,0,0
1535747312796,3216,HTTP Request,200,OK,Thread Group 1-111,text,true,,1044903,130,425,425,3215,0,1
1535747312806,3239,HTTP Request,200,OK,Thread Group 1-112,text,true,,1044903,130,429,429,3239,0,1
1535747312825,3252,HTTP Request,200,OK,Thread Group 1-113,text,true,,1044903,130,432,432,3252,0,0
1535747312826,3286,HTTP Request,200,OK,Thread Group 1-114,text,true,,1044903,130,436,436,3285,0,1
1535747312837,3304,HTTP Request,200,OK,Thread Group 1-115,text,true,,1044903,130,438,438,3303,0,0
1535747312886,3263,HTTP Request,200,OK,Thread Group 1-29,text,true,,343,133,439,439,3263,0,0
1535747312915,3240,HTTP Request,200,OK,Thread Group 1-1,text,true,,343,133,440,440,3240,0,0
1535747312846,3341,HTTP Request,200,OK,Thread Group 1-116,text,true,,1045314,130,443,443,3341,0,1
1535747312857,3362,HTTP Request,200,OK,Thread Group 1-117,text,true,,1045314,130,446,446,3361,0,0
1535747312867,3386,HTTP Request,200,OK,Thread Group 1-118,text,true,,1045314,130,450,450,3385,0,0
1535747312877,3409,HTTP Request,200,OK,Thread Group 1-119,text,true,,1045314,130,453,453,3407,0,0
1535747312887,3438,HTTP Request,200,OK,Thread Group 1-120,text,true,,1045314,130,457,457,3438,0,0
1535747312897,3466,HTTP Request,200,OK,Thread Group 1-121,text,true,,1045314,130,461,461,3466,0,0
1535747312907,3488,HTTP Request,200,OK,Thread Group 1-122,text,true,,1045314,130,464,464,3487,0,1
1535747312917,3514,HTTP Request,200,OK,Thread Group 1-123,text,true,,1045314,130,467,467,3513,0,1
1535747312927,3536,HTTP Request,200,OK,Thread Group 1-124,text,true,,1045314,130,470,470,3535,0,1
1535747312937,3555,HTTP Request,200,OK,Thread Group 1-125,text,true,,1045314,130,473,473,3554,0,1
1535747312947,3573,HTTP Request,200,OK,Thread Group 1-126,text,true,,1045314,130,476,476,3573,0,0
1535747312948,3576,HTTP Request,200,OK,Thread Group 1-2,text,true,,343,133,477,477,3576,0,0
1535747312982,3550,HTTP Request,200,OK,Thread Group 1-30,text,true,,343,133,477,477,3550,0,0
1535747312958,3606,HTTP Request,200,OK,Thread Group 1-127,text,true,,1045726,130,480,480,3605,0,0
1535747312968,3625,HTTP Request,200,OK,Thread Group 1-128,text,true,,1045726,130,483,483,3624,0,0
1535747312978,3648,HTTP Request,200,OK,Thread Group 1-129,text,true,,1045726,130,487,487,3647,0,0
1535747313018,3614,HTTP Request,200,OK,Thread Group 1-31,text,true,,343,133,487,487,3614,0,0
1535747313060,3578,HTTP Request,200,OK,Thread Group 1-32,text,true,,343,133,488,488,3578,0,0
1535747312988,3680,HTTP Request,200,OK,Thread Group 1-130,text,true,,1046138,130,491,491,3678,0,0
1535747312998,3698,HTTP Request,200,OK,Thread Group 1-131,text,true,,1046138,130,494,494,3697,0,0
1535747313008,3720,HTTP Request,200,OK,Thread Group 1-132,text,true,,1046138,130,497,497,3719,0,0
1535747313018,3757,HTTP Request,200,OK,Thread Group 1-133,text,true,,1046138,130,501,501,3756,0,1
1535747313028,3775,HTTP Request,200,OK,Thread Group 1-134,text,true,,1046138,130,504,504,3775,0,8
1535747313038,3800,HTTP Request,200,OK,Thread Group 1-135,text,true,,1046138,130,508,508,3800,0,1
1535747313048,3826,HTTP Request,200,OK,Thread Group 1-136,text,true,,1046138,130,511,511,3826,0,1
1535747313059,3858,HTTP Request,200,OK,Thread Group 1-137,text,true,,1046138,130,515,515,3856,0,0
1535747313093,3826,HTTP Request,200,OK,Thread Group 1-33,text,true,,343,133,516,516,3826,0,0
1535747313069,3885,HTTP Request,200,OK,Thread Group 1-138,text,true,,1046344,130,519,519,3884,0,0
1535747313079,3907,HTTP Request,200,OK,Thread Group 1-139,text,true,,1046344,130,522,522,3906,0,0
1535747313089,3929,HTTP Request,200,OK,Thread Group 1-140,text,true,,1046344,130,525,525,3927,0,0
1535747313124,3898,HTTP Request,200,OK,Thread Group 1-34,text,true,,343,133,526,526,3898,0,0
1535747313100,3958,HTTP Request,200,OK,Thread Group 1-141,text,true,,1046549,130,529,529,3957,0,0
1535747313110,3979,HTTP Request,200,OK,Thread Group 1-142,text,true,,1046549,130,532,532,3978,0,0
1535747313120,4005,HTTP Request,200,OK,Thread Group 1-143,text,true,,1046549,130,536,536,4005,0,0
1535747313128,4029,HTTP Request,200,OK,Thread Group 1-7,text,true,,1046549,130,539,539,4028,0,0
1535747313130,4058,HTTP Request,200,OK,Thread Group 1-8,text,true,,1046549,130,542,542,4057,0,0
1535747313130,4097,HTTP Request,200,OK,Thread Group 1-144,text,true,,1046549,130,546,546,4096,0,0
1535747313140,4117,HTTP Request,200,OK,Thread Group 1-145,text,true,,1046549,130,549,549,4116,0,0
1535747313151,4145,HTTP Request,200,OK,Thread Group 1-146,text,true,,1046549,130,553,553,4144,0,1
1535747313161,4169,HTTP Request,200,OK,Thread Group 1-147,text,true,,1046549,130,556,556,4168,0,0
1535747313162,4173,HTTP Request,200,OK,Thread Group 1-35,text,true,,343,133,557,557,4173,0,0
1535747313171,4192,HTTP Request,200,OK,Thread Group 1-148,text,true,,1046755,130,560,560,4191,0,0
1535747313181,4214,HTTP Request,200,OK,Thread Group 1-149,text,true,,1046755,130,563,563,4213,0,1
1535747313191,4206,HTTP Request,200,OK,Thread Group 1-36,text,true,,343,133,563,563,4206,0,0
1535747313193,4236,HTTP Request,200,OK,Thread Group 1-150,text,true,,1046961,130,566,566,4235,0,0
1535747313203,4257,HTTP Request,200,OK,Thread Group 1-151,text,true,,1046961,130,569,569,4256,0,1
1535747313213,4279,HTTP Request,200,OK,Thread Group 1-152,text,true,,1046961,130,572,572,4278,0,1
1535747313219,4285,HTTP Request,200,OK,Thread Group 1-37,text,true,,343,133,574,574,4285,0,0
1535747313224,4318,HTTP Request,200,OK,Thread Group 1-153,text,true,,1047167,130,577,577,4317,0,0
1535747313234,4335,HTTP Request,200,OK,Thread Group 1-154,text,true,,1047167,130,579,579,4335,0,0
1535747313244,4357,HTTP Request,200,OK,Thread Group 1-155,text,true,,1047167,130,582,582,4356,0,0
1535747313254,4383,HTTP Request,200,OK,Thread Group 1-156,text,true,,1047167,130,586,586,4383,0,0
1535747313255,4387,HTTP Request,200,OK,Thread Group 1-38,text,true,,343,133,586,586,4387,0,0
1535747313289,4355,HTTP Request,200,OK,Thread Group 1-39,text,true,,343,133,587,587,4355,0,0
1535747313264,4408,HTTP Request,200,OK,Thread Group 1-157,text,true,,1047578,130,589,589,4407,0,0
1535747313274,4433,HTTP Request,200,OK,Thread Group 1-158,text,true,,1047578,130,593,593,4432,0,0
1535747313284,4459,HTTP Request,200,OK,Thread Group 1-159,text,true,,1047578,130,596,596,4458,0,1
1535747313338,4414,HTTP Request,200,OK,Thread Group 1-40,text,true,,343,133,597,597,4414,0,0
1535747313297,4483,HTTP Request,200,OK,Thread Group 1-160,text,true,,1047784,130,600,600,4483,0,1
1535747313305,4505,HTTP Request,200,OK,Thread Group 1-161,text,true,,1047784,130,603,603,4504,0,0
1535747313316,4525,HTTP Request,200,OK,Thread Group 1-162,text,true,,1047784,130,606,606,4525,0,0
1535747313337,4532,HTTP Request,200,OK,Thread Group 1-163,text,true,,1047784,130,609,609,4531,0,1
1535747313341,4562,HTTP Request,200,OK,Thread Group 1-164,text,true,,1047784,130,612,612,4562,0,0
1535747313370,4537,HTTP Request,200,OK,Thread Group 1-41,text,true,,343,133,612,612,4537,0,0
1535747313351,4589,HTTP Request,200,OK,Thread Group 1-165,text,true,,1047990,130,616,616,4588,0,0
1535747313361,4616,HTTP Request,200,OK,Thread Group 1-166,text,true,,1047990,130,617,617,4614,0,0
1535747313401,4583,HTTP Request,200,OK,Thread Group 1-42,text,true,,343,133,618,618,4583,0,0
1535747313372,4641,HTTP Request,200,OK,Thread Group 1-167,text,true,,1048196,130,621,621,4640,0,0
1535747313382,4659,HTTP Request,200,OK,Thread Group 1-168,text,true,,1048196,130,623,623,4658,0,0
1535747313392,4679,HTTP Request,200,OK,Thread Group 1-169,text,true,,1048196,130,626,626,4678,0,1
1535747313434,4641,HTTP Request,200,OK,Thread Group 1-43,text,true,,343,133,626,626,4641,0,0
1535747313402,4704,HTTP Request,200,OK,Thread Group 1-170,text,true,,1048401,130,629,629,4703,0,1
1535747313412,4727,HTTP Request,200,OK,Thread Group 1-171,text,true,,1048401,130,633,633,4726,0,0
